Titles,Runtime,User Rating,Metascore,Votes,Gross,Genre
Pearl Harbor,183,6.2,44,321224,198.54,Action
Monsters vs. Aliens,94,6.4,56,154219,198.35,Animation
Happy Feet,108,6.4,77,177363,198.00,Animation
Ice Age: Dawn of the Dinosaurs,94,6.9,50,233509,196.57,Animation
Ice Age: The Meltdown,91,6.8,60,266212,195.33,Animation
Mission: Impossible - Rogue Nation,131,7.4,75,355701,195.04,Action
Madagascar,86,6.9,57,381924,193.60,Animation
22 Jump Street,112,7.0,71,359233,191.72,Action
Twilight,122,5.2,56,444347,191.47,Drama
Cars 2,106,6.1,57,172765,191.45,Animation
Teenage Mutant Ninja Turtles,101,5.8,31,205490,191.20,Action
Men in Black II,88,6.2,49,357300,190.42,Action
Spider-Man: Into the Spider-Verse,117,8.4,87,432726,190.24,Animation
Wreck-It Ralph,101,7.7,72,397704,189.42,Animation
Dunkirk,106,7.8,94,599953,188.37,Action
A Quiet Place,90,7.5,82,484137,188.02,Drama
Interstellar,169,8.6,74,1628135,188.02,Adventure
Gladiator,155,8.5,67,1405783,187.71,Action
The Croods,98,7.2,55,202958,187.17,Animation
Sherlock Holmes: A Game of Shadows,129,7.5,48,435437,186.85,Action
The Day After Tomorrow,124,6.4,47,430614,186.74,Action
Mr. & Mrs. Smith,120,6.5,55,469005,186.34,Action
Pitch Perfect 2,115,6.4,63,149305,184.30,Comedy
The Revenant,156,8.0,76,746756,183.64,Action
Ocean's Eleven,116,7.7,74,541348,183.42,Crime
The Polar Express,100,6.6,61,188269,183.37,Animation
The Simpsons Movie,87,7.3,80,318480,183.14,Animation
What Women Want,127,6.4,47,200966,182.81,Comedy
The Perfect Storm,130,6.4,59,162017,182.62,Action
Lincoln,150,7.3,86,252775,182.21,Biography
Jurassic Park III,92,5.9,42,305917,181.17,Action
Thor,115,7.0,57,787182,181.03,Action
Ant-Man,117,7.3,64,610945,180.20,Action
Planet of the Apes,119,5.7,50,215143,180.01,Action
Madagascar: Escape 2 Africa,89,6.6,61,215260,180.01,Animation
X-Men Origins: Wolverine,107,6.6,40,483522,179.88,Action
Hitch,118,6.6,58,305448,179.50,Comedy
Men in Black 3,106,6.8,58,347362,179.02,Action
Home,94,6.6,55,97545,177.40,Animation
Night at the Museum: Battle of the Smithsonian,105,6.0,42,186139,177.24,Adventure
How to Train Your Dragon 2,102,7.8,76,318065,177.00,Animation
Rise of the Planet of the Apes,105,7.5,68,509818,176.76,Action
Captain America: The First Avenger,124,6.9,66,786310,176.65,Action
The Karate Kid,140,6.2,61,171742,176.59,Action
Ice Age,81,7.5,60,459061,176.39,Animation
The Bourne Supremacy,108,7.7,73,447564,176.24,Action
Get Out,104,7.7,85,534506,176.04,Horror
The Lego Batman Movie,104,7.3,75,138725,175.75,Animation
Us,116,6.8,81,259258,175.08,Horror
The Boss Baby,97,6.3,50,117885,175.00,Animation
Crazy Rich Asians,120,6.9,74,156851,174.53,Comedy
The Greatest Showman,105,7.6,48,257812,174.34,Biography
Fast & Furious Presents: Hobbs & Shaw,137,6.4,60,195372,173.96,Action
Elf,97,7.0,64,239683,173.40,Adventure
National Treasure,131,6.9,39,316515,173.01,Action
Pirates of the Caribbean: Dead Men Tell No Tales,129,6.5,39,282404,172.56,Action
TRON: Legacy,125,6.8,49,323866,172.06,Action
Mary Poppins Returns,130,6.7,66,82326,171.96,Comedy
True Grit,110,7.6,80,324486,171.24,Drama
John Wick: Chapter 3 - Parabellum,130,7.4,73,308309,171.02,Action
A Beautiful Mind,135,8.2,72,884595,170.74,Biography
Chicago,113,7.2,81,222749,170.69,Comedy
The Help,146,8.0,62,440644,169.71,Drama
Hotel Transylvania 2,89,6.7,44,116361,169.70,Animation
Hidden Figures,127,7.8,74,213284,169.61,Biography
Bridesmaids,125,6.8,75,280924,169.11,Comedy
Quantum of Solace,106,6.6,58,426905,168.37,Action
Wild Hogs,100,5.8,27,116392,168.27,Action
Kong: Skull Island,118,6.6,62,299942,168.05,Action
Gone Girl,149,8.1,79,914063,167.77,Drama
Hotel Transylvania 3: Summer Vacation,97,6.3,54,64639,167.51,Animation
Casino Royale,144,8.0,80,618033,167.45,Action
Meet the Parents,108,7.0,73,321564,166.24,Comedy
Fifty Shades of Grey,125,4.1,46,307489,166.17,Drama
2012,158,5.8,49,364804,166.11,Action
Knives Out,130,7.9,82,540457,165.36,Comedy
Kung Fu Panda 2,90,7.2,67,266910,165.25,Animation
Hannibal,131,6.8,57,264305,165.09,Crime
Catch Me If You Can,141,8.1,75,892627,164.62,Biography
The Proposal,108,6.7,48,308416,163.96,Comedy
The Pursuit of Happyness,117,8.0,64,475627,163.57,Biography
Clash of the Titans,106,5.8,39,276502,163.21,Action
The SpongeBob Movie: Sponge Out of Water,92,6.0,62,52531,162.99,Animation
Django Unchained,165,8.4,81,1435386,162.81,Drama
Jason Bourne,123,6.6,58,216628,162.43,Action
Grown Ups,102,6.0,30,238088,162.00,Comedy
Ice Age: Continental Drift,88,6.5,49,199642,161.32,Animation
Straight Outta Compton,147,7.8,72,189536,161.20,Biography
Die Another Day,133,6.1,56,212661,160.94,Action
Shark Tale,90,6.0,48,174656,160.86,Animation
How to Train Your Dragon: The Hidden World,104,7.5,71,115748,160.80,Animation
The Heat,117,6.6,60,166919,159.58,Action
Fantastic Beasts: The Crimes of Grindelwald,134,6.5,52,240191,159.56,Adventure
Halloween,106,6.6,67,135838,159.34,Crime
1917,119,8.3,78,499208,159.23,Action
The Secret Life of Pets 2,86,6.5,55,56952,158.87,Animation
Star Trek Beyond,122,7.0,68,237485,158.85,Action
The Longest Yard,113,6.4,48,170028,158.12,Comedy
X-Men,104,7.4,64,589678,157.30,Action
Scary Movie,88,6.2,48,244448,157.02,Comedy
What Lies Beneath,130,6.6,51,122044,155.46,Drama
X-Men: Apocalypse,144,6.9,52,411244,155.44,Action
Snow White and the Huntsman,127,6.1,57,281247,155.33,Action
San Andreas,114,6.1,43,225078,155.19,Action
Fast & Furious,107,6.6,46,275893,155.06,Action
Over the Hedge,83,6.7,67,167014,155.02,Animation
Fantastic Four,106,5.7,40,319587,154.70,Action
Horton Hears a Who!,86,6.8,71,134648,154.53,Animation
Mad Max: Fury Road,120,8.1,90,932590,154.06,Action
Trolls,92,6.5,55,76578,153.71,Animation
Scooby-Doo,86,5.2,35,105723,153.29,Adventure
Cars 3,102,6.7,59,86184,152.90,Animation
Sex and the City,145,5.6,53,118868,152.65,Comedy
G.I. Joe: The Rise of Cobra,118,5.8,32,204940,152.27,Action
La La Land,128,8.0,94,540714,151.10,Comedy
Divergent,139,6.6,48,440652,150.95,Action
We're the Millers,110,7.0,44,424560,150.39,Comedy
Terminator 3: Rise of the Machines,109,6.3,66,387329,150.37,Action
